0.177778 2
0 0 0.99872
0 2 0.99872
0 4 0.99872
0 6 0.99872
0 8 0.99872
0 10 0.99872
0 12 0.99872
0 14 0.99872
0 16 0.99872
0 18 0.99872
0 20 0.99872
0 22 0.99872
0 24 0.99872
0 26 0.99872
0 28 0.99872
0 30 0.99872
0 32 0.99872
0 34 0.99872
0 36 0.99872
0 38 0.99872
0 40 0.99872
0 42 0.99872
0 44 0.99872
0 46 0.99872
0 48 0.99872
0 50 0.99872
0 52 0.99872
0 54 0.99872
0 56 0.99872
0 58 0.99872
0 60 0.99872
0 62 0.99872
0 64 0.99872
0 66 0.99872
0 68 0.99872
0 70 0.99872
0 72 0.99872
0 74 0.99872
0 76 0.99872
0 78 0.99872
0 80 0.99872
0 82 0.99872
0 84 0.99872
0 86 0.99872
0 88 0.99872
0 90 0.99872
0.177778 0 0.998719
0.177778 2 0.998719
0.177778 4 0.998719
0.177778 6 0.998719
0.177778 8 0.998719
0.177778 10 0.998719
0.177778 12 0.998719
0.177778 14 0.998719
0.177778 16 0.998719
0.177778 18 0.998719
0.177778 20 0.998719
0.177778 22 0.998719
0.177778 24 0.998719
0.177778 26 0.998719
0.177778 28 0.998719
0.177778 30 0.998719
0.177778 32 0.998719
0.177778 34 0.998719
0.177778 36 0.998719
0.177778 38 0.998719
0.177778 40 0.998719
0.177778 42 0.998719
0.177778 44 0.998719
0.177778 46 0.998719
0.177778 48 0.998719
0.177778 50 0.998719
0.177778 52 0.998719
0.177778 54 0.998719
0.177778 56 0.998719
0.177778 58 0.998719
0.177778 60 0.998719
0.177778 62 0.998719
0.177778 64 0.998719
0.177778 66 0.998719
0.177778 68 0.998719
0.177778 70 0.998719
0.177778 72 0.998719
0.177778 74 0.998719
0.177778 76 0.998719
0.177778 78 0.998719
0.177778 80 0.998719
0.177778 82 0.998719
0.177778 84 0.998719
0.177778 86 0.998719
0.177778 88 0.998719
0.177778 90 0.998719
0.355556 0 0.998721
0.355556 2 0.998721
0.355556 4 0.998721
0.355556 6 0.998721
0.355556 8 0.998721
0.355556 10 0.998721
0.355556 12 0.998721
0.355556 14 0.998721
0.355556 16 0.998721
0.355556 18 0.998721
0.355556 20 0.998721
0.355556 22 0.998721
0.355556 24 0.998721
0.355556 26 0.998721
0.355556 28 0.998721
0.355556 30 0.998721
0.355556 32 0.998721
0.355556 34 0.998721
0.355556 36 0.998721
0.355556 38 0.998721
0.355556 40 0.998721
0.355556 42 0.998721
0.355556 44 0.998721
0.355556 46 0.998721
0.355556 48 0.998721
0.355556 50 0.998721
0.355556 52 0.998721
0.355556 54 0.998721
0.355556 56 0.998721
0.355556 58 0.998721
0.355556 60 0.998721
0.355556 62 0.998721
0.355556 64 0.998721
0.355556 66 0.998721
0.355556 68 0.998721
0.355556 70 0.998721
0.355556 72 0.998721
0.355556 74 0.998721
0.355556 76 0.998721
0.355556 78 0.998721
0.355556 80 0.998721
0.355556 82 0.998721
0.355556 84 0.998721
0.355556 86 0.998721
0.355556 88 0.998721
0.355556 90 0.998721
0.533333 0 0.998723
0.533333 2 0.998723
0.533333 4 0.998723
0.533333 6 0.998723
0.533333 8 0.998723
0.533333 10 0.998723
0.533333 12 0.998723
0.533333 14 0.998723
0.533333 16 0.998723
0.533333 18 0.998723
0.533333 20 0.998723
0.533333 22 0.998723
0.533333 24 0.998723
0.533333 26 0.998723
0.533333 28 0.998723
0.533333 30 0.998723
0.533333 32 0.998723
0.533333 34 0.998723
0.533333 36 0.998723
0.533333 38 0.998723
0.533333 40 0.998723
0.533333 42 0.998723
0.533333 44 0.998723
0.533333 46 0.998723
0.533333 48 0.998723
0.533333 50 0.998723
0.533333 52 0.998723
